Derge,Taisho,Note
571,1264,removing (Dharani)
572,1264,removing (Dharani)
575,1047,
585,1021,
590,"977,976",removing (Dharani)
592,"977,976",removing (Dharani)
593,"977,976",removing (Dharani)
594,"971,978",removing (Dharani)
595,"cf:979,979 cf.,978",removing (Dharani)
596,"cf:979,979 cf.,978",removing (Dharani)
597,"974,967",removing (Dharani)
598,978,removing (Dharani)
599,1025,removing (Dharani)
604,1217,
606,1392,
609,1373,
612,943,
613,"1075,1076,1077",removing (Dharani)
614,"1137,1138,1139,1140",removing (Dharani)
617,"1362,26(165) cf.",removing (Dharani)
619,1324,
621,1325,
622,1323,
637,1127,
642,"1190,1197",removing (Dharani)
643,1143,
644,"1168A,1167,1168a,1168B",removing (Dharani)
646,"1313,1314",removing (Dharani)
647,"1313,1314",removing (Dharani)
656,"1244,1245",removing (Dharani)
657,"992,989,993,991",removing (Dharani)
660,"1302,1303",removing (Dharani)
661,"1302,1303",removing (Dharani)
662,"1162,1163,1164",removing (Dharani)
663,1165,removing (Dharani)
664,1165,removing (Dharani)
674,"937,936",removing (Dharani)
675,"937,936",removing (Dharani)
676,370,
679,"369,934,1316,1317",removing (Dharani)
682,"1092,1094,1099,1095,1093",removing (Dharani)
683,"1092,1094,1099,1092(1),1095,1093",removing (Dharani)
684,1099,removing (Dharani)
686,"1093 cf.,1092,901(828),1095 cf.,1095,1094 cf.,1096 cf.,1099,901(828) cf.,1097,cf:1093,1099 cf.,1096,1098,1094,1097 cf.,1098 cf.",removing (Dharani)
687,1092,removing (Dharani)
688,1092,removing (Dharani)
690,"1063 cf.,cf:1056,1058 cf.,1058,1057,1062a,1062b cf.,1060,1056 cf.,1064 cf.,1061 cf.,1057 cf.,1062a cf.,1062b,1061",removing (Dharani)
691,"1057,1058,1060",removing (Dharani)
692,"1082,1080,1083,1081",removing (Dharani)
693,"1070,901(812),1071",removing (Dharani)
694,"1070,901(812),1071",removing (Dharani)
697,"1113b,1111,1112,1113B,1113A,1061,1113a",removing (Dharani)
699,"1037,1038",removing (Dharani)
705,1054,removing (Dharani)
710,"1034,1036,901(5),1035",removing (Dharani)
711,1036,removing (Dharani)
712,901(5),removing (Dharani)
721,1375,removing (Dharani)
725,1117,removing (Dharani)
727,"1107,cf:1105,1106,1105 cf.",removing (Dharani)
728,"1107,1105,1107 cf.,1106 cf.,1106",removing (Dharani)
733,901(14),removing (Dharani)
735,1100,removing (Dharani)
736,1384,removing (Dharani)
739,1253,removing (Dharani)
740,1252,removing (Dharani)
741,1252,removing (Dharani)
745,"1107,1107 cf.,cf:1105,1106,1105 cf.",removing (Dharani)
747,1129,removing (Dharani)
748,"1416,1417",Only in Adarsha
750,"1416,1417",removing (Dharani)
751,1415,removing (Dharani)
753,1416,removing (Dharani)
757,1243,removing (Dharani)
764,1285,removing (Dharani)
769,1285,removing (Dharani)
770,1283,removing (Dharani)
772,1377,removing (Dharani)
805,"895,896",removing (Dharani)
806,897,removing (Dharani)
807,893,removing (Dharani)
847,299,removing (Dharani)
848,"1397,1398",removing (Dharani)
849,"937,936",removing (Dharani)
850,370,removing (Dharani)
851,"369,934,1316,1317",removing (Dharani)
852,"1147,1333,1334",same as D270 so same parallels
853,"1348,1349",removing (Dharani)
854,"918,919",removing (Dharani)
856,"1346,1347",removing (Dharani)
857,1387,removing (Dharani)
858,"1353,1352,1355,1029,1354,1351",removing (Dharani)
866,1411,removing (Dharani)
872,"1408,1409",removing (Dharani)
877,1127,removing (Dharani)
882,"1168A,1167,1168a,1168B",removing (Dharani)
883,"1023,1022a",removing (Dharani)
885,"1006,1005a,1007",removing (Dharani)
886,"1357,1356,1358,1359,1007",removing (Dharani)
887,"1358,1359",removing (Dharani)
888,1371,removing (Dharani)
890,1143,removing (Dharani)
897,"1057,1058,1060",removing (Dharani)
898,"1082,1080,1083,1081",removing (Dharani)
899,"1070,1071,901(812)",removing (Dharani)
900,1054,removing (Dharani)
901,"1092,1094,1099,1092(1),1095,1093",removing (Dharani)
902,1092,removing (Dharani)
903,1092,removing (Dharani)
904,"1037,1038",removing (Dharani)
905,"1113b,1111,1112,1113B,1113A,1061,1113a",removing (Dharani)
906,"901(14),901",removing (Dharani)
907,1377,removing (Dharani)
909,1117,removing (Dharani)
914,"1016,1014,1009,1011,1017,1013,1018,1012,1015",removing (Dharani)
915,"1137,1138,1139,1140",removing (Dharani)
916,1360,removing (Dharani)
917,1047,removing (Dharani)
923,943,removing (Dharani)
925,1373,removing (Dharani)
930,"1034,1036,901(5),1035",removing (Dharani)
941,1021,removing (Dharani)
946,1415,removing (Dharani)
947,1243,removing (Dharani)
948,"1416,1417",removing (Dharani)
949,"1416,1417",removing (Dharani)
955,1416,removing (Dharani)
958,1392,removing (Dharani)
970,1285,removing (Dharani)
971,1285,removing (Dharani)
974,"1362,26(165) cf.",removing (Dharani)
982,1024,removing (Dharani)
983,1025,removing (Dharani)
984,"974,967,974a",removing (Dharani)
985,"977,976",removing (Dharani)
986,"977,976",removing (Dharani)
988,"1257,1255,1254,1256",removing (Dharani)
989,"1075,1076,1077",removing (Dharani)
990,1264,removing (Dharani)
991,1404,removing (Dharani)
994,1100,removing (Dharani)
995,1384,removing (Dharani)
997,"1302,1303",removing (Dharani)
998,"1302,1303",removing (Dharani)
1000,"1107,cf:1105,1106,1105 cf.",removing (Dharani)
1005,1252,removing (Dharani)
1006,1252,removing (Dharani)
1007,"1162,1163,1164",removing (Dharani)
1008,1324,removing (Dharani)
1014,1323,removing (Dharani)
1020,1325,removing (Dharani)
1042,1036,Only in Adarsha
1043,901,Only in Adarsha
1059,999cf.,removing (Dharani)
1061,"1244,1245",removing (Dharani)
1063,"992,989,991,993",removing (Dharani)
1078,1386,removing (Dharani)
1079,"1313,1314",removing (Dharani)
1080,"1313,1314",removing (Dharani)
1095,"278(31),279(36),296,297",removing (Dharani)
1096,1144,removing (Dharani)
1118,1675,
1123,1678,
1133,1685,
1147,1680,
1149,1683,
1168,1684,
3721,1687,
3809,1518,
3810,1517,
3812,1516,"? what is 1516, it probably doesn't really correspond to the two texts... what is a commentary on what?"
3813,1516,"? what is 1516, it probably doesn't really correspond to the two texts... what is a commentary on what?"
3816,1510,
3824,1564,
3825,1575,
3828,1631,
3832,1631,"? what is 1631, it probably doesn't really correspond to the two texts... what is a commentary on what?"
3833,1576,
3834,1572,
3835,1572,"? what is 1572, it probably doesn't really correspond to the two texts... what is a commentary on what?"
3836,"1651,1653,cf:1652,1654a",these Taisho indexes are in different groups...?
3837,1654b,
3840,1574,
3844,"1620,1621","probable translation of the same text, to be studied"
3845,"1620,1621","odd, are 3844 and 3845 different translations of the same text?"
3846,1570,
3848,"1620,1621",same oddity?
3849,"1620,1621",same oddity?
3853,1566,
3871,1662,
3905,1637,
3913,1663,
3915,1664,
3932,"411,410","odd, same correspondence as D239..."
3934,1635,
3939,1636,"odd, 1636 shouldn't appear multiple times"
3940,1636,"odd, 1636 shouldn't appear multiple times"
3941,1636,"odd, 1636 shouldn't appear multiple times"
3958,727,"odd, 727 shouldn't appear multiple times"
3966,727,"odd, 727 shouldn't appear multiple times, maybe this one is a mistake (in TT)?"
3991,1531,
3993,1522,
4009,1523,
4017,1723,
4020,1604,
4021,"1599,1601","group in the Hobogirin is 1599,1600,1601"
4024,1611,
4025,1611,"odd, 1611 shouldn't appear multiple times"
4026,1604,
4027,"1599,1600",
4035,,"originally 1579(1-20), no import because no outline"
4036,,"originally 1579(21-34), no import because no outline"
4037,"1582,1581",1579(35-50)
4038,,1579(51-80)
4039,,1579(85-98)
4040,,1579(99-100)
4041,,1579(83-84)
4042,,1579(81-82)
4048,"1592,1593,1594",
4049,1605,
4050,"1595,1596,1597",
4051,1598,
4053,1606,
4054,1606,"odd, 1606 shouldn't appear multiple times"
4055,"1586,1587","in Hobogirin, 1585 is also part of this group, quid ?"
4056,"1588,1589,1590","in Hobogirin, 1591 is also part of this group, quid ?"
4057,"1588,1589,1590",
4059,1612,
4062,"1608,1609",
4063,1614,
4066,1613,
4085,,"originally 1579, only in the Koreana sheet, indicated as K570, probably just one specific chapter of 1579, removing"
4087,1538,
4089,1560,
4090,"1558,1559",
4091,1563,
4098,1554,
4099,"210,211,212,213",
4105,1458,
4123,1459,
4138,"2031,2032,2033",are these 3 the same text ? different translations ? isn't it a Chinese commentary?
4144,550,
4145,2043,
4146,2030,
4150,160,
4156,192,
4158,1656,
4162,1574,
4178,727,is this the same text as 3958 but in a different translation?
4179,"726,723,725","odd, these are not grouped in the HoboGirin..."
4182,"1672,1673,1674",
4205,"1619,1624",odd
4206,"1619,1624",odd
4208,1630,
4315,,"indication ""1419?"" in TT, removing"
4316,1419,
4377,"296,297",same as 44-45e so same parallels
4378,1144,
4379,"663,665,664",entangled... see 555
4383,,"originally 1662, looks wrong"
4388,1656,"same as D4158, same parallels"
4394,893,
4404,"279,278",
4405,"187,186",odd? indicated in the Tohoku...
4407,999,removing (Dharani)
4408,999,removing (Dharani)
4409,985,removing (Dharani)
4462,1516,"same as D3812, same parallels"
