"°cchānāmatantra","K428"
"Avalokiteśvaramātādhāraṇīsūtra","K1239"
"Avalokiteśvaranāmāṣṭaśataka(sūtra)","K1122"
"Avalokiteśvarasāhasrikabhujalocaṇanirmāṇavistarāparipūrṇasaṅgamahākāruṇikadhāraṇī","K294"
"Avikalpapraveśadhāraṇī(sūtra)","K1438"
"Āyuṣparyantasūtra","K1105"
"Bahudhātukasūtra","K1254"
"Bhadracaryapraṇidhāna","K1029"
"Bhadracaryāpraṇidhānarāja","K1282"
"Bhadrakalpāvadāna","K387"
"Bhadrakalpikasūtra","K387"
"Bhadrakārātrī(sūtra)","K459"
"Bhadramāyākāraparipṛcchā(sūtra)","K22(21);K34"
"Bhadrapalāśreṣṭhiparipṛcchā(sūtra)","K49"
"Bhadrapālaśreṣṭhiparipṛcchā(sūtra)","K22(39)"
"Bhadrapālasūtra","K66;K67;K68;K69"
"Bhagavanbhaiṣajya*","K177"
"Bhagavatīprajñā","K20"
"Bhagavatīprajñāpāramitāhṛdaya(sūtra)","K1427"
"Bhagavatīprajñāparamitānavaślokapiṇḍārtha","K1478"
"Bhagavatīprajñāpāramitāpañcaśatikasūtra","K1192"
"Bhagavatīprajñāpāramitāvajracchedikāsaptārthaṭika","K555"
"Bhaiṣajyagurupūrvapraṇidhānaviśeṣavistara(sūtra)","K176"
"Bhaiṣajyaguruvaiḍūryaprabhāsapūrvapraṇidhānaviśeṣavistara(sūtra)","K177"
"Bhaiṣajyarājabhaiṣajyasamudagata(bodhisattvasūtra)","K379"
"Bhāsabodhisattvanirdeśasūtra","K381"
"Bhāvanākrama","K119"
"Bhavasaṅkrantiśāstra","K1433"
"Bhavasaṅkrāntisūtra","K264;K266;K494"
"Bhiśajupamānasūtra","K1446"
"Bimbisārapratyudgamanasūtra","K1243"
"Bodhi(sattva)caryāvatāra","K1121"
"Bodhicittabhāvanā","K1205"
"Bodhimaṇḍalalakṣālaṁkāranāmadhāraṇī(sūtra)","K1299"
"Bodhimaṇḍanirdeśaikākṣaroṣṇiṣakakravartirājasūtra","K1290"
"Bodhipakṣanirdeśa(sūtra)","K1099"
"Bodhisambhāraśāstra","K585"
"Bodhisattvabhūmi","K523;K524;K570"
"Bodhisattvabuddhānusmṛtisamādhi","K65"
"Bodhisattvabuddhānusmṛtisamādhi(sūtra)","K60"
"Bodhisattvacaryānirdeśa(sūtra)","K1227"
"Bodhisattvacāryanirdeśa(sūtra)","K532"
"Bodhisattvagocaropāyaviṣayavikurvāṇanirdeśa(sūtra)","K162;K163"
"Bodhisattvapiṭaka","K1487"
"Bodhisattvapiṭaka(sūtra)","K22(12)"
"Bodhisattvāvalokiteśvarasahasrabhujanatrisigmahākaruṇikacittavistaraparipūrṇanāmadhāraṇī","K292"
"Brahmajālasūtra","K527;K659;KS77"
"Brahmaviśeṣacintīparipṛcchā(sūtra)","K142;K143;K144"
"Buddakṣepana","K238;K239"
"(Buddha)avataṁsakasūtra","KS15;KS17"
"(Buddha)avataṃsakasūtra","K79;K80"
"Buddhabhūmi(sūtra)","K460"
"Buddhabhūmisūtraśāstra","K554"
"Buddhacarita","K980"
"Buddhahṛdayadhāraṇī","K1134"
"Buddhahṛdayadhāraṇī(dharmaparyāya)","K444"
"Buddhamakuṭasūtra","K1479"
"Buddhanāmasahasrapañcaśatacatustripañcadaśa(sūtra)","K394"
"Buddhapiṭakaduḥśīlanirgraha(sūtra)","K529"
"Buddhasaṅgītisūtra","K384"
"Caityapradakṣiṇagātha(sūtra)","K486"
"Cakṣurviśodhanavidyā","K438g;K1301"
"Candanāṅganāmadhāraṇī","(sūtra)","K1224d"
"Candraprabhabodhisattva(sūtra)","K466"
"Candraprabhabodhisattvacaryāvadāna(sūtra)","K1173"
"Candraprabhakumāra(sūtra)","K219;K220;K234"
"Candrasūtra","K650"
"Candropamasūtra","K1447"
"Candrottarādārikāparipṛcchāsūtra","K415"
"Catuḥśataka","K582"
"Catuḥsatyaśāstra","K974"
"Catuḥsatyasūtra","K649;K673"
"Caturdārakasamādhisūtra","K108;K109"
"Caturdharmakasūtra","K246;K247"
"Catuṣkanirhārasūtra","K485"
"Cundīdevīdhāraṇī(sūtra)","K314;K315;K1338"
"Damamūka(nidānasūtra)","K983"
"Dānādhikāra(mahāyāna)sūtra","K1176"
"Dārikāvimalaśraddhāparipṛcchā(sūtra)","K22(40)"
"Daśabalasūtra","K1386;K1473"
"Daśabhūmidhāraṇī","K287"
"Daśabhūmikasūtra","K89;K98;K1388"
"Daśabhūmikasūtraśāstra","K550"
"Daśabuddhaka(sūtra)","K22(34)"
"Daśacakrakṣitigarbha(sūtra)","K57;K58"
"Daśadharma(ka)(sūtra)","K28"
"Daśadharmaka(ka)(sūtra)","K22(9)"
"Daśadigandhakāravidhvaṃsana(sūtra)","K464"
"Daśākuśalakarmapathanirdeśa","K1491"
"Devarājapravaraprajñāpāramitāsūtra","K1(6)"
"Devatāsūtra","K881"
"Dhāraṇīsaṃgrāha","K308"
"Dhāraṇīsamuccaya(sūtra)","K308"
"Dharmacakrapravartanasūtra","K730;K741"
"Dharmacakrasūtra","K730"
"Dharmadhātuprakṛti-asambhedanirdeśa(sūtra)","K22(8)"
"Dharmadhātustotra","K1115"
"Dharmaguptabhikṣukarman","K923"
"Dharmaguptabhikṣuṇīkarman","K919"
"Dharmaguputa(ka)vinaya","K896"
"Dharmapāda","K982;K1020;K1021;K1119"
"Dharmasaṃgītisūtra","K404;K404"
"Dharmasamuccaya","K1494"
"Dharmasangraha(sūtra)","K1124"
"Dharmaśarīrasūtra","K1249"
"Dhuajagra(sūtra)","K650"
"Dhvajāgra(sūtra)","K650"
"Dhvajāgrakeyūrā(sūtra)","K1162"
"Dhvajāgrakeyūrādhāraṇī","K1093"
"Dīrghāgama(sūtra)","K647"
"Dīrghanakhaparivrājakaparipṛcchā(sūtra)","K869"
"Divyāvadana","K370"
"Dṛṣtāntapaṅkti","K587"
"Drumakinnararājaparipṛcchā(sūtra)","K129;K130"
"Dvādaśabuddhaka(sūtra)","K301;K302"
"Dvādaśanikāyaśāstra","K579"
"Ekākṣaroṣṇīsacakrarājayogakalpa","K1320"
"Ekaślokaśāstra","K632"
"Ekottarāgama(sūtra)","K649"
"Gagaṇagañjaparipṛcchā(sūtra)","K1339"
"Gaṇḍavyūha","KS52"
"Gaṇḍavyūhasūtra","K102;K104;K1262;KS16"
"Gaṇḍīstotragāthā","K1175"
"Gaṅgottaraparipṛcchā(sūtra)","K22(31)"
"Garbhāvakrāntinirdeśa(sūtra)","K22(13);K30"
"Garuḍapaṭalaparivarta","K1352"
"Gayāśīrṣasūtra","K222;K223;K224;K225"
"Gayāśīrṣasūtraṭīka","K560"
"Ghanavyūhasūtra","K417;K1344"
"Grahamātṛkādhāraṇī(sūtra)","K1180"
"Guhyagarbharāja","K1462"
"Guhyasamayagarbharāja","K1454"
"Guṇaratnasaṅkusumitaparipṛcchā(sūtra)","K22(34)"
"Gurupañcāśikā","K1493"
"Hastavālaprakaraṇa","K637;K643"
"Hastikakṣyā(sūtra)","K184;K185"
"Hetuvidyānyāyadvāra","K604"
"Hetuvidyānyāyapraveśa(tārka)śāstra","K607"
"Hiraṇyavatīdhāraṇī(sūtra)","K1166"
"Itivṛttakasūtra","K803"
"Jambhalajalendrayathālabdhakalpa(sūtra)","K1153;K1154"
"Jāṅgulīnāmavidyā","K1296"
"Jātaka(sūtra)","K799"
"Jinaputrārthasiddasūtra","K207"
"Jñānolkādhāraṇī(sūtra)","K476"
"Jñānolkādhāraṇīsarvadurgatipariśodhanī(sūtra)","K1161"
"Jñānolkanāmadhāraṇīsarva(dur)gatipariśodhaī","K476"
"Jyotiṣka(sūtra)","K505"
"Jyotiṣkāvadāna","K1437"
"Kalpanālaṃkṛtikā","K587"
"Kalpanāmaṇḍitikā","K587"
"Kalyāṇamitrasevana(sūtra)","K650"
"Kanakavarṇapūrvayoga(sūtra)","K370"
"Kanakavarṇāvadāna","K370"
"Karatalaratna","K620"
"Karmasiddhiprakaraṇa","K602;K603"
"Karmāvaraṇapratipraśrabdhi(sūtra)","K541;K543"
"Karmāvaraṇaviśuddhisūtra","K525"
"Karmavibhaṅgadharmagrantha","K695"
"Karuṇāpuṇḍarīkasūtra","K125;K126"
"Kāśyapaparivarta(sūtra)","K22(43);K52;K53;K1123"
"Kauśikaprajñāpāramitāsūtra","K1190"
"Kāyatrayastotra","K1225;K1228c"
"Kośabhāsya","K953"
"Krodhavijayakalpaguhyatantra","K1208"
"Kṣāmārabodhisattvasūtra","K359"
"Kṣemaṅkāraparipṛcchā(sūtra)","K359"
"Kṣemavatīvyākaraṇa(sūtra)","K492"
"Kumāraḍṛṣtānta(sūtra)","K650"
"Kuśalamūlasamparigraha(sūtra)","K396"
"Kusumasañcayasūtra","K371"
"Kūṭāgārasūtra","K1101"
"Lakṣaṇānusāraśāstra","K962"
"Lalitavistara(sūtra)","K111;K112"
"Laṅkāvatārasūtra","K159;K160;K161"
"Lokadharaparipṛcchā(sūtra)","K145;K146"
"Lokānusamānā-avatāra-sūtra","K361"
"Lokānuvartanasūtra","K361"
"Madhyamāgama(sūtra)","K648"
"Madhyamakavṛtti","K119"
"Madhyāntavibhaṅgabhāṣya","K597;K601"
"Madhyāntavibhāṅgakārikā","K599"
"Mahā(rakṣā)mantrānusāriṇīsūtra","K1102"
"(Mahā)ratnakūṭa","K22"
"Mahābalasūtra","K1097"
"Mahābalavajrakrodha(sūtra)","K1266"
"Mahābherihārakaparivarta(sūtra)","K416"
"Mahādaṇḍadhāraṇī(sūtra)","K1104"
"Mahādhāraṇī(sūtra)","K1164"
"Mahāgovindiya(sūtra)","K1453"
"Mahākaruṇāpuṇḍarīkasūtra","K110"
"Mahālalikāparipṛcchā(sūtra)","K216;K217;K218"
"Mahāmaṇivipulavimānaviśvasupratiṣṭhitaguhyaparamarahasyakalparājadhāraṇī(sūtra)","K422;K430;K1298"
"Mahāmati(sūtra)","K499"
"Mahāmāyāsūtra","K373"
"Mahāmāyūrī(vidyārājñī)","K1375"
"Mahāmāyūri(vidyārājñī)-(sūtra)","K303;K304;K305;K306;K307"
"Mahāmayūrī(vidyārājñī)(sūtra)","K1293"
"(Mahāmāyūribhāṣitapraṇidhānasatyavākya)","K303"
"Mahāmeghasūtra","K164;K165;K166;K167;K1294"
"Mahānidānasūtra","K1410"
"Mahāparinirvāṇasūtra","K105;K106;K107;K483;K652;K653;K654;K1403"
"Mahāprajñāpāramitāśāstra","K549"
"Mahāprajñāpāramitāsūtra","K1"
"Mahāprātihāryanirdeśa(sūtra)","K22(22)"
"Mahāpratisarādhāraṇī(sūtra)","K454;K1349"
"Mahāpuruṣaśāstra","K615"
"Mahāsahasrapramardanasūtra","K1096"
"Mahāsahasrapramardanībhāṣitapraṇidhāna","K1096"
"Mahāsahasrapramardanībhāṣitasvastyayanagāthā","K1096"
"Mahāsamāja(sūtra)","K1179"
"Mahāsaṅghabhikṣuṇivinaya","K900"
"Mahāsaṅghikavinaya","K889"
"Mahāśrīsūtra","K1288"
"(Mahāvaipulyamahā)sannipātasūtra","K56"
"Mahāvairocana(abhisaṃbodhivikurvitādhiṣṭānavaipulya)-(sūtra)","K427"
"Mahāvajrameruśikharakūṭāgāradhāraṇī","K1150"
"(Mahāyāna)sūtralāṃkāraśāstra","K586"
"Mahāyānābhidharmasaṅgītiśāstra","K572"
"Mahāyānābhisamaya(sūtra)","K151;K152"
"Mahāyānalakṣaṇasamuccaya","K1435"
"Mahāyānasaṅgraha","K588;K591;K592"
"Mahāyānasaṅgrahabhāṣya","K593;K594"
"Mahāyānasaṅgrāhabhāṣya","K590"
"Mahāyānasaṅgrahopanibandhana","K595"
"Mahāyānaśatadharmaprakāśamukhaśāstra","K644"
"Mahāyānaśraddhotpādaśāstra","K616;K623"
"Mahāyānavatāra","K621"
"Mahāyānavimśaka","K1445"
"Mahāyānopadeśa(sūtra)","K74"
"Mahīśāsakakarman","K916"
"Mahīśāsakavinaya","K895"
"Maitreyamahāsiṃhanāda(sūtra)","K22(23)"
"Maitreyaparipṛcchā(sūtra)","K22(42);K51"
"Maitreyaparipṛcchādharmāṣṭa(ka)(sūtra)","K22(41);K50"
"Maitreyaparipṛcchopadeśa","K551"
"Maitreyapratijñādhāraṇī","(sūtra)","K1224g"
"Maitreyavyākaraṇa(sūtra)","K196;K198;K199"
"Maitrībhāvanāsūtra","K649;K756"
"Mālikasūtra","K410"
"Maṇḍalāṣṭasūtra","K497"
"Mandhātāvadāna","K1469"
"Maṅgalāṣṭaka(sūtra)","K493"
"Maṇibhadradhāraṇīsūtra","K1238b"
"Mañjuśrībuddhakṣetraguṇavyūha(sūtra)","K22(15);K31"
"Mañjuśrībuddhakṣetraguṇavyūhasūtra","K1341"
"Mañjuśrīmūlakalpa","K1138"
"Mañjuśrīnāmāṣṭaśataka","K1178"
"Mañjuśrīnirdeśa(sūtra)","K485"
"Mañjuśrīparipṛcchā(sūtra)","K244;K245;K412;K1211"
"Mañjuśrīparivarta","K10"
"Mañjuśrīvihārasūtra","K265;K267"
"Mañjuśrīvikrīḍitasūtra","K186;K187"
"Mañjuśrīvikurvāṇa","parivarta=(sūtra)","K463"
"Mārīcīdhāraṇī(sūtra)","K311;K1156;K1354;K1377"
"Mātangīsūtra","K759;K762;K764;K766"
"Māyājālamahātantra","K1220"
"Māyopamasamādhisūtra","K376;K1450"
"Mekhalādhāraṇī(sūtra)","K1158;K1439"
"Miliṇḍapañha","K1002"
"Mukhaikādaśavidyāmantrahṛdayanāmadhāraṇī","K309"
"(Mūla)madhyamakaśāstra","K577"
"Mūlaparidhara","K396"
"(Mūlasarvāstivāda)Bhikṣuṇīprātimokṣasūtra","K897"
"(Mūlasarvāstivāda)Bhikṣuṇīvinayavibhaṅga","K892"
"(Mūlasarvāstivāda)ekaśatakarman","K914"
"(Mūlasarvāstivāda)nidānamātṛkā","K894"
"(Mūlasarvāstīvāda)Pratimokṣasūtra","K898"
"(Mūlasarvāstivāda)vinayakārikā","K925"
"(Mūlasarvāstivāda)vinayakṣudrakavastu","K893"
"(Mūlasarvāstivāda)vinayanidānamātṛkākārikā","K927"
"(Mūlasarvāstivāda)Vinayayasangraha","K934"
"Nāgaśrīparipṛcchāsūtra","K1(8)"
"Nāgaśrīpāripṛcchāsūtra","K12"
"Nairātmyaparipṛccha(sūtra)","K1492"
"Nairātmyaparipṛcchānirdeśa","K1128"
"Nāmasaṅgīti","K1419"
"Nandapravrajyāsūtra","K728"
"Nandimitrāvadāna","K1046"
"Nandopanandanāgarājadamanasūtra","K780"
"Ni","chieh","mo","K924"
"Nidānasūtra","K259;K269;K1245"
"Nīlakaṇṭha(ka)(sūtra)","K292;K293;K294"
"Nīlakaṇṭhanāmadhāraṇī","K1270"
"Nirayasūtra","K712"
"Nirvāṇaśāstra","K567"
"Niyatāniyata(gati)mudrāvatārasūtra","K138;K139"
"Nyāyadvāra","K604"
"Nyāyadvāratarkaśāstra","K604"
"Nyāyamukha","K604;K606"
"Nyāyapraveśa","K607"
"Padmacintāmaṇidhāraṇī(sūtra)","K295;K296;K297;K298"
"Padmacintāmaṇidhāraṇīsūtra","K1149"
"Pañcākṣaradhāraṇīkārikā","K1345"
"Pañcapāramitānirdeśa","K1(11);K1(12);K1(13);K1(14);K1(15)"
"Pañcaśatikāprajñāpāramitā(sūtra)","K1485"
"Pañcaśatikāprajñāpāramitāsūtra","K12"
"Pañcaskandhaprakaraṇa","K619"
"Pañcaskandhaprakaraṇavaibhāṣya","K618"
"Pañcavastukavibhāṣa","K970"
"Pañcaviṃśatisāhasrikāprajñāpāramitāsūtra","K1(2);K2;K3;K4"
"Paramārthadharmavijayasūtra","K202;K203"
"Paramārthasaṃvṛtisatyanirdeśa(sūtra)","K537;K539;K540"
"Paramitaguṇānuśaṃsādhāraṇī","K474b"
"Pariṇāmacakra(sūtra)","K1387"
"Parṇaśavarīdhāraṇī(sūtra)","K1305"
"Parṇaśāvarīdhāraṇī(sūtra)","K1224e"
"Paryāyasaṃgrāha","K570"
"Pitāputrasamāgama(sūtra)","K1496"
"Pitāputrasamāgamana(sūtra)","K22(16)"
"Pradīpadānīya(sūtra)","K408"
"(Prajñāmūla)madhyamakakārikā","K577"
"Prajñāpāramitāḥṛdaya","K1383"
"Prajñāpāramitāhṛdayasūtra","K20;K21"
"Prajñāpārāmitāhṛdayasūtra","K1267"
"Prajñāpāramitāmayaśatapañcāśatikā","K1256"
"Prajñapāramitānāmāṣṭaśataka","K1455"
"Prajñāpāramitānaya","K18"
"Prajñāpāramitānayaśatapañcāśatikā","K18"
"Prajñāpāramitāsaṁgrahakārikāvivaraṇa","K1459"
"Prajñāpāramitāsaṅgrahakārikā","K1458"
"Prajñāpradīpamūlamadhyamakavṛtti","K578"
"Prajñaptiśāstra","K1484"
"Praśāntaviniścayaprātihārya(samādhi)sūtra","K482"
"Pratibhānamatiparipṛcchā(sūtra)","K854"
"Prātimokṣasūtra","K910"
"Pratītyasamutpādādivibhaṅganirdeśa(sūtra)","K746a"
"Pratītyasamutpādādivibhaṅganirdeśasūtra","K736"
"Pratītyasamutpādaśāstra","K646"
"Pratyutpannabuddhasammukhāvasthitasamādhisūtra","K397"
"Pravāraṇasūtra","K871;K872;K1253"
"Pretamukhāgnijvālayaśarakāradhāraṇī(sūtra)","K1302"
"Puṇyabalāvadāna","K1467"
"Pūpāvatyāvadānā(sūtra)","K252"
"Pūrṇaparipṛcchā(sūtra)","K22(17)"
"(Pūrva)Bhāvanākrama","K1449"
"Puṣpakūṭadhāraṇī(sūtra)","K339;K340;K344;K1159"
"Rājaparikathāratnamālī","K617"
"Rājaparikathāratnāvalyudbhavapraṇidhānagāthāviṁśaka","K617"
"Rājāvavādaka(sūtra)","K258;K260;K261"
"Rājāvavādakasūtra","K1417"
"Raśmisamantamuktanirdeśa(sūtra)","K22(11)"
"Raśmivimalaviśuddhaprabhādhāraṇī(sūtra)","K352"
"Rāṣṭrapālaparipṛcchā(sūtra)","K22(18);K1206"
"Ratnacandraparipṛcchā(sūtra)","K1145"
"Ratnacūḍa(paripṛcchā)(sūtra)","K22(47)"
"(Ratnagotravibhāga)Mahāyānottaratantraśāstra","K600"
"Ratnaguṇasañcayagāthā(sūtra)","K1200"
"Ratnajālīparipṛcchā(sūtra)","K354"
"Ratnakāraṇḍa(ka)(vyūha)sūtra","K149;K150"
"Ratnaketudhāraṇī(sūtra)","K78"
"Ratnakūṭasūtra","K240;K241"
"Ratnakūṭasūtraśāstra","K552"
"Ratnameghasūtra","K133;K134;K1476"
"Ratnarāśi(sūtra)","K22(44)"
"Ratnolkādhāraṇi(sūtra)","K1095"
"rīparamādikalparājasūtra","K1256"
"Ṣaḍakṣaravidyā(sūtra)","K1170"
"Saḍakṣaravidyāmantra(satra)","K316"
"Saḍakṣaravidyāmantra(sūtra)","K341;K345;K353"
"Saḍamukhanāmadhāraṇīsūtra","K447"
"(Saddharma)smṛtyupasthānasūtra","K801;K1116"
"Saddharmapuṇḍarīkasūtra","K115;K116;K117;K118"
"Saddharmapuṇḍarīkopadeśa","K561;K563"
"Ṣaḍgatikārikā","K1490"
"Sāgaramatiparipṛcchāsūtra","K1481"
"Sāgaranāgarājaparipṛcchā(sūtra)","K495;K1140"
"Sāgaranāgarājaparipṛcchā=(sūtra)","K377"
"Śakraparipṛcchā(sūtra)","K1252"
"Śālistamb(h)a(ka)sūtra","K268;K272;K1191;K1297"
"Samādhirāja(candrapradīpa)sūtra","K181"
"Samantabhadradhāraṇī(sūtra)","K449;K1308"
"Samantabhadrādhāraṇīsūtra","K1151"
"Samantamukhaparivarta(sūtra)","K29"
"Samantamukhaparivartasūtra","K22(10)"
"Samantamukhapraveśaraśmivimaloṣṇīṣaprabhāsarvatathāgatahṛdayasamāvalokitadhāraṇī(sūtra)","K1107"
"Samantapāsādikā","K937"
"Samayabhedoparacanacakra","K975;K976;K977"
"Sāṁkhyakārikā","K1032"
"Saṃvṛtiparamārthasatya°","K537"
"Saṁyukatāgamasūtra","K651"
"Saṃyuktābhidharmahṛdaya","(śāstra)","K960"
"Saṁyuktāgamasūtra","K650;K745"
"Sandhīnirmocanasūtra","K153;K154;K155;K156"
"Sangharakṣitāvadāna","K858"
"Sanghāṭīsūtradharmaparyāya","K1412"
"Saṅghāṭīsūtradharmaparyāya(sūtra)","K398"
"Sangītisūtra","K1429"
"Śaṅkara°","K359"
"Saṇmukhīdhāraṇī(sūtra)","K447"
"Saptabuddhaka","K1182"
"Saptabuddhakasūtra","K338;K346;K1106"
"Saptabuddhastotra","K1092"
"Saptaśatikaprajñāpāramitāsūtra","K22(46)"
"Saptaśatikāprajñāpāramitāsūtra","K1(7);K10;K11"
"Saptasūryodasūtra","K1201"
"Saptatathāgatapūrvapraṇidhānaviśeṣavistara(sūtra)","K174;K178"
"Sārddhadvisāhasrikāprajñāpāramitāsūtra","K8"
"Śāriputrābhidharmaśāstra","K969"
"Śariputraparipṛcchā(sūtra)","K907"
"Sarvābhayapradānadhāraṇī(sūtra)","K1457"
"Sarvabuddhāngavatīdhāraṇī(sūtra)","K475"
"Sarvabuddhāṅgavatīdhāraṇīsūtra","K1114"
"Sarvabuddhaviṣayāvatārajñānalokālaṃkārasūtra","K188;K189"
"Sarvabuddhaviṣayāvatārajñānālokālaṁkārasūtra","K1489"
"Sarvadharmaguṇavyūharāja(sūtra)","K455"
"Sarvadharmapravṛttinirdeśa(sūtra)","K168;K169"
"(Sarvadurgatipariśodhana)-uṣṇīṣavijayadhāraṇī(sūtra)","K319;K320;K321;K322;K323"
"(Sarvadurgatipariśodhana)uṣṇīṣavijayadhāraṇi(sūtra)","K1091"
"(Sarvadurgatipariśodhana)uṣṇīṣavijayadhāraṇī(sūtra)","K1204"
"Sarvapuṇyasamuccayasamādhisūtra","K140;K141"
"Sarvarahasyatantrarāja","K1452"
"Sarvarogapraśamanidhāraṇī","(sūtra)","K1300"
