Koreana ID,Title (Chinese),volume start,page start,page end ,volume end,Taisho ID,Title (Korean),Other IDs,,
K 22(2),無邊莊嚴會,10,173,205,10,T310(2),무변장엄회,"(VI: 25),(H. 302(2))",,
K 22(3),密迹金剛力士會,10,205,260,10,T310(3),밀적금강역사회,"(VI:57),(H. 302(3))",,
K 22(4),淨居天子會,10,261,276,10,T310(4),보살설몽경,"(VI:113),(H. 302(4))",,
K 22(5),無量壽如來會,10,277,292,10,T310(5),무량수여래회,"(VI:129),(H. 302(5))",,
K 22(6),不動如來會,10,292,309,10,T310(6),부동여래회,"(VI: 144),(H. 302(6))",,
K 22(7),被甲莊嚴會,10,309,346,10,T310(7),피갑장엄회,"(VI: 161),(H. 302(7))",,
K 22(8),法界體性無別會(經),10,346,358,10,T310(8),법계체성무별회(경),"(VI: 198),(H. 302(8))",,
K 22(9),(大乘)十法會(經),10,359,370,10,T310(9),(전대)십법회(경),"(VI: 211),(H. 302(9))",,
K 22(10),文殊師利普門會,10,370,375,10,T310(10),문수사리보문회,"(VI: 222),(H. 302(10))",,
K 22(11),出現光明會,10,375,409,10,T310(11),출현광명회,"(VI: 227),(H. 302(11))",,
K 22(12),大菩薩藏經,10,410,592,10,T310(12),대보살장경,"(VI: 262),(H. 302(12)",,
K 22(13),佛爲阿難說處胎會,10,593,599,10,T310(13),불위아난설처태회,"(VI: 445),(H. 302(13))",,
K 22(14),佛說入胎藏會,10,599,615,10,T310(14),불설입태장회,"(VI: 451),(H. 302(14))",,
K 22(15),文殊師利授記會(經),10,615,635,10,T310(15),문수사리수기회(경),"(VI: 467),(H. 302(15))",,
K 22(16),菩薩見實會(經),10,636,55,11,T310(16),보살견실회(경),"(VI: 488),(H. 302(16))",,
K 22(17),富樓那會,11,55,85,11,T310(17),보살장경,"(VI: 602),(H. 302(17))",,
K 22(18),護國菩薩會經,11,86,104,11,T310(18),호국보살회경,"(VI: 633),(H. 302(18))",,
K 22(19),郁伽長者會,11,105,117,11,T310(19),욱가장자회,"(VI: 652),(H. 302(19))",,
K 22(20),無盡伏藏會,11,117,125,11,T310(20),무진복장회,"(VI: 664),(H. 302(20))",,
K 22(21),授幻師跋陀羅記會,11,125,133,11,T310(21),수환사발다라기회,"(VI: 672),(H. 302(21))",,
K 22(22),大變會,11,234,146,11,T310(22),대변회,"(VI: 681),(H. 302(22))",大神變會,
K 22(23),摩訶迦葉會,11,146,165,11,T310(23),마하가섭회,"(VI: 691),(H. 302(23))",,
K 22(24),優波離會,11,165,173,11,T310(24),우바리회,"(VI: 712),(H. 302(24))",,
K 22(25),發勝志樂會,11,173,185,11,T310(25),발승지락회,"(VI: 720),(H. 302(25))",,
K 22(26),善臂菩薩會,11,186,197,11,T310(26),선비보살회,"(VI:733),(H. 302(26))",,
K 22(27),善順菩薩會,11,198,202,11,T310(27),선순보살회,"(VI: 745),(H. 302(27))",,
K 22(28),勸授長者會,11,202,206,11,T310(28),권수장자회,"(VI: 749),(H. 302(28))",,
K 22(29),優陀延王會,11,207,211,11,T310(29),우타연왕회,"(VI: 754),(H. 302(29))",,
K 22(30),妙慧童女經,11,211,214,11,T310(30),묘혜동녀경,"(VI:758),(H. 302(30))",,
K 22(31),恒河上優婆夷會,11,214,215,11,T310(31),항하상우바이회,"(VI:758),(H. 302(31))",,
K 22(32),無畏德菩薩會,11,216,223,11,T310(32),무외덕보살회,"(VI :763),(H. 302(32))",,
K 22(33),無垢施菩薩應辯會,11,223,234,11,T310(33),무구시보살응변회,"(VI:770),(H. 302(33))",,
K 22(34),功德寶花敷菩薩會,11,235,236,11,T310(34),공덕보화부보살회,"(VI: 782),(H. 302(34))",,
K 22(35),善德天子會,11,236,244,11,T310(35),선덕천자회,"(VI: 782),(H. 302(35))",,
K 22(36),(大方等)善住意天子會(所問經),11,244,276,11,T310(36),(대방등)선주의천자회(소문경),"(VI:791),(H. 302(36))",,
K 22(37),阿闍世王子會,11,276,278,11,T310(37),아사세왕자회,"(VI:823),(H. 302(37))",,
K 22(38),大乘方便會(經),11,278,299,11,T310(38),대승방편회(경),"(VI:823),(H. 302(38))",,
K 22(39),賢護長者會,11,299,313,11,T310(39),현호장자회,"(VI:846),(H. 302(39))",,
K 22(40),淨信童女會,11,314,318,11,T310(40),정신동녀회,"(VI:861),(H. 302(40))",,
K 22(41),彌勒菩薩問八法會,11,318,320,11,T310(41),미륵보살문팔법회,"(VI:861),(H. 302(41))",,
K 22(42),彌勒菩薩所問會(經),11,320,324,11,T310(42),미륵보살소문회(경),"(VI:861),(H. 302(42))",,
K 22(43),普明菩薩會,11,325,335,11,T310(43),보명보살회,"(VI: 872),(H. 302(43:)",,
K 22(44),寶梁聚會,11,335,349,11,T310(44),보량취회,"(VI:882),(H. 302(44))",,
K 22(45),無盡慧菩薩會,11,349,353,11,T310(45),무진혜보살회,"(VI: 896),(H. 302(45)).",,
K 22(46),文殊說般若會(經),11,353,363,11,T310(46),문수설반야회(경),"(VI: 896),(H. 302(46))",,
K 22(47),寶髻菩薩會(經),11,363,387,11,T310(47),문수설반야회(경),"(VI: 910),(H. 302(47))",,
K 22(48),勝鬘夫人會,11,387,396,11,T310(48),승만부인회,"(VI :934),(H. 302(48))",,
K 22(49),廣博仙人會,11,396,407,11,T310(49),광박선인회,"(VI: 943),(H. 302(40))",,
K 23,大方廣三戒經,11,408,431,11,T311,대방광삼계경,"(VL9I:5),(H. 303)",,
K 24,無量淸淨平等覺經,11,432,463,11,T361,무량청정평등각경,"(VI:9I9),(H. 351)",,
K 25,阿彌陀三耶三佛薩樓佛壇過度人道經,11,464,491,11,T362,아미타삼야삼불살루불단과도인도경,"(VI: 1011),(H.352)",,
K 26,無量壽經,11,492,511,11,T360,무량수경,"(VI:1039),(H. 350)",,
K 27,阿閦佛國經,11,512,531,11,T313,아축불국경,"(VI:1059),(H.305)",,
K 28,大乘十法經,11,532,541,11,T314,대승십법경,"(VI:1079),(H.306)",,
K 29,普門品經,11,542,553,11,T315,보문품경,"(VI:1089),(H.307)",,
K 30,胞胎經,11,554,561,11,T317,포태경,"(VI:1101),(H.309)",,
K 31,文殊師利佛土嚴淨經,11,562,581,11,T318,문수사리불토엄정경,"(VI:1109),(H.310)",,
K 32,法鏡經,11,582,593,11,T322,법경경,"(VI1129),(H. 314)",,
K 33,郁迦羅越問菩薩行經,11,594,605,11,T323,욱가라월문보살행경,"(VI:1141),(H. 315)",,
K 34,幻士仁賢經,11,606,615,11,T324,환사인현경,"(VI:1153),(H.316)",,
K 35,決定毗尼經,11,616,623,11,T325,결정비니경,"(VI:1163),(H.317)",,
K 36,須摩提經,11,624,627,11,T336,수마제경,"(VI:1171),(H. 326)",,
K 37,發覺淨心經,11,628,641,11,T327,발각정심경,"(VI:1175),(H. 319)",,
K 38,優填王經,11,642,645,11,T332,우진왕경,"(VI:1189),(H. 323)",,
K 39,須摩提菩薩經,11,646,649,11,T334,수마제보살경,"(VI:1193),(H. 325)",,
K 40,阿闍貰王女阿術達菩薩經,11,650,659,11,T337,아사세왕녀아술달보살경,"(VI:1197),(H. 327)",,
K 41,離垢施女經,11,660,671,11,T338,이구,"(VI:1207),(H. 328)",,
K 42,得無垢女經,11,672,685,11,T339,득무구녀경,"(VI:1219),(H. 329)",,
K 43,文殊師利所說不思議佛境界經,11,686,697,11,T340,문수사리소설부사의불경계경,"(VI:1233),(H. 330)",,
K 44,如幻三昧經,12,7,34,12,T342,여환삼매경,"(VI:1245),(H. 332)",,
K 45,聖善住意天子所問經,12,35,64,12,T341,성선주의천자소문경,"(VI:273),(H. 331)",,
K 46,太子刷護經,12,65,66,12,T343,태자쇄호경,"(VI:1303),(H. 333)",,
K 47,太子和休經,12,67,68,12,T344,태자화휴경,"(VI:1305),(H. 334)",,
K 48,慧上菩薩問大善權經,12,69,84,12,T345,혜상보살문대선권경,"(VI:1307),(H. 335)",,
K 49,大乘顯識經,12,85,98,12,T341,대승현식경,"(VI:1323),(H. 337)",,
K 50,大乘方等要慧經,12,99,100,12,T348,대승방등요혜경,"(VI:1337),(H. 338)",,
K 51,彌勒菩薩所問本願經,12,101,104,12,T349,미륵보살소문본원경,"(VI:1339),(H. 339)",,
K 52,遺日摩尼寶經,12,105,112,12,T350,유일마니보경,"(VI:1343),(H. 340)",,
K 53,摩訶衍寶嚴經,12,113,122,12,T351,마하연보엄경,"(VLI:351),(H. 341)",,
K 54,勝鬘師子吼一乘大方便方廣經,12,123,132,12,T353,승만사자후일승대방편방광경,"(VI:1361),(H.343)",,
K 55,毗耶婆問經,12,133,148,12,T354,비야바문경,"(VI:1371),(H.344)",,
K 56,大方等大集經,12,149,727,12,T397,대방등대집경,"(VII :1),(H. 383)",,
K 57,大乘大集地藏十輪經,13,8,89,13,T411,대승대집지장십륜경,"(VII:581),(H.399)",,
K 58,大方廣十輪經,13,90,143,13,T410,대방광십륜경,"(VII:663),(H.398)",,
K 59,大乘大集經,13,144,163,13,T397 (16),대승대집경,"(VII:717),(H.385［＊１６］)",,
K 60,菩薩念佛三昧經,13,164,209,13,T414,보살념불삼매경,"(VII:737),(H. 401)",,
K 61,虛空孕菩薩經,13,210,225,13,T408,허공잉보살경,"(VII:783),(H. 396)",,
K 62,虛空藏菩薩經,13,226,239,13,T405,허공장보살경,"(VII:799),(H. 393)",,
K 63,虛空藏菩薩呪經,13,240,247,13,T407,허공장보살주경,"(VII:813),(H. 395)",,
K 64,觀虛空藏菩薩經,13,248,253,13,T409,관허공장보살경,"(VII:821),(H. 397)",,
K 65,大方等大集經菩薩念佛三昧分,13,254,313,13,T415,대방등대집경보살념불삼매분,"(VII:827),(H.402)",,
K 66,大方等大集經賢護分,13,314,351,13,T416,대방등대집경현호분,"(VII:887),(H.403)",,
K 67,般舟三昧經,13,352,375,13,T418,반주삼매경,"(VII:925),(H. 405)",,
K 68,般若三昧經,13,376,383,13,T417,반야삼매경,"(VII:949),(H.404)",,
K 69,拔陂菩薩經,13,384,391,13,T419,발피보살경,"(VII:56),(H. 406)",,
K 70,阿差末菩薩經,13,392,437,13,T403,아차말보살경,"(VII:963),(H. 391)",,
K 71,無盡意菩薩經,13,438,481,13,T397[*12],무진의보살경,"(VII:1009),(H. 384)",,
K 72,大哀經,13,482,539,13,T398,대애경,"(VII:1053),(H. 386)",,
K 73,大集譬喩王經,13,540,557,13,T422,대집비유왕경,"(VII.-1111),(H.409)",,
K 74,寶女所問經,13,558,589,13,T399,보녀소문경,"(VII:1129),(H.387)",,
K 75,自在王菩薩經,13,590,607,13,T420,자재왕보살경,"(VII:1161),(H. 407)",,
K 76,奮迅王問經,13,608,629,13,T421,분신왕문경,"(VII:1179),(H. 408)",,
K 77,無言童子經,13,630,649,13,T401,무언동자경,"(VII:201),(H. 389)",,
K 78,寶星陀羅尼經,13,650,36,14,T402,보성다라니경,"(VII:1221),(H. 390)",,
K 79,大方廣佛華嚴經,14,37,460,14,T278,대방광불화엄경,"(VIII :1),(H.271)",,
K 80,大方廣佛華嚴經,14,461,301,15,T279,대방광불화엄경,"(VIII:425),(H. 272)",,
K 81,信力入印法問經,15,302,349,15,T305,신력입인법문경,"(VIII :945),(H. 298)",,
K 82,佛華嚴入如來德智不思議境界經,15,350,361,15,T303,불화엄입여래덕지부사의경계경,"(VIII :993),(H. 296)",,
K 83,大乘金剛髻珠菩薩修行分,15,362,371,15,T1130,대승금강계주보살수행분,"(VIII:1005),(H. 986)",,
K 84,大方廣佛華嚴經修慈分,15,372,375,15,T306,대방광불화엄경수자분,"(VIII:1015),(H.299)",,
K 85,度諸佛境界智光嚴經,15,376,383,15,T302,도제불경계지광엄경,"(VIII:1019),(H.295)",,
K 86,大方廣入如來智德不思議境界經,15,384,391,15,T304,대방광입여래지덕부사의경계경,"(VIII:1027),(H.297)",,
K 87,大方廣如來不思議境界經,15,392,397,15,T301,대방광여래부사의경계경,"(VIII:1035),(H.294)",,
K 88,大方廣佛華嚴經不思議佛境界分,15,398,403,15,T300,대방광불화엄경부사의불경계분,"(VIII:1041),(H.293)",,
K 89,漸備一切智德經,15,404,455,15,T285,점비일체지덕경,"(VIII:1047),(H. 278)",,
K 90,兜沙經,15,456,459,15,T280,두사경,"(VIII: 1099),(H.273)",,
K 91,大方廣普賢所說經,15,460,461,15,T298,대방광보현소설경,"(VIII:1103),(H. 290)",,
K 92,菩薩十住行道品,15,462,465,15,T283,보살십주행도품,"(VIII:1105),(H. 276)",,
K 93,諸菩薩求佛本業經,15,466,471,15,T282,제보살구불본업경,"(VIII:1109),(H. 275)",,
K 94,菩薩本業經,15,472,477,15,T281,보살본업경,"(VIII:1115),(H. 274)",,
K 95,莊嚴菩提心經,15,478,481,15,T307,장엄보리심경,"(VIII:1121),(H.300)",,
K 96,大方廣菩薩十地經,15,482,485,15,T308,대방광보살십지경,(VIII: 1125),,
K 97,菩薩十住經,15,486,487,15,T284,보살십주경,"(VIII:1129),(H. 277)",,
K 98,十住經,15,488,535,15,T286,십주경,"(VIII:1131),(H. 279)",,
K 99,如來興顯經,15,536,569,15,T291,여래흥현경,"(VIII :1179),(H.284)",,
K 100,等目菩薩所問三昧經,15,570,595,15,T288,등목보살소문삼매경,"(VIII: 1213),(H. 281)",,
K 101,顯無邊佛土功德經,15,596,597,15,T289,현무변불토공덕경,"(VIII:1239),(H. 282))",,
K 102,羅摩伽經,15,598,633,15,T294,라마가경,"(VIII: 1241),(H. 287)",,
K 103,度世品經,15,634,693,15,T292,도세품경,"(VIII;1277),(H. 285)",,
K 104,大方廣佛華嚴經入法界品,15,694,697,15,T295,대방광불화엄경입법계품,"(VIII:1337),(H. 288)",,
K 105,大般涅槃經,16,7,366,16,T374,대반열반경,"(IX:1),(H.362)",,
K 106,大般泥洹經,16,367,434,16,T376,대반니원경,"(IX:361),(H. 363)",,
K 107,大般涅槃經後分,16,435,454,16,T377,대반열반경후분,"(IX:429),(H.364)",,
K 108,方等般泥洹經,16,455,476,16,T378,방등반니원경,"(IX:449),(H. 365)",,
K 109,四童子三昧經,16,477,498,16,T379,사동자삼매경,"(IX:471),(H.366)",,
K 110,大悲經,16,499,540,16,T380,대비경,"(IX.493),(H. 367)",,
K 111,方廣大莊嚴經,16,541,644,16,T187,방광대장엄경,"(IX:535),(H.187)",,
K 112,普曜經,16,645,714,16,T186,보요경,"(IX:639),(H.186)",,
K 113,法華三昧經,17,8,13,17,T269,법화삼매경,"(IX:709),(H. 262)",,
K 114,無量義經,17,14,21,17,T276,무량의경,"(IX:715),(H. 269)",,
K 115,薩曇分陀利經,17,22,23,17,T265,살담분타리경,"(IX:723),(H. 258)",,
K 116,妙法蓮華經,17,24,99,17,T262,묘법연화경,"(IX:725),(H. 255)",,
K 117,正法華經,17,100,197,17,T263,정법화경,"(IX-.801),(H.256)",,
K 118,添品妙法蓮華經,17,198,275,17,T264,첨품묘법연화경,"(IX: 899),(H. 257)",,
K 119,維摩詰所說經,17,276,305,17,T475,유마힐소설경,"(IX:977),(H. 461)",,
K 120,維摩詰經,17,306,333,17,T474,유마힐경,"(IX:1007),(H.460)",,
K 121,說無垢稱經,17,334,379,17,T476,설무구칭경,"(IX .-1035),(H. 462)",,
K 122,大方等頂王經,17,380,389,17,T477,대방등정왕경,"(IX:1081),(H. 463)",,
K 123,大乘頂王經,17,390,399,17,T478,대승정왕경,"(IX.-1091),(H. 464)",,
K 124,善思童子經,17,400,411,17,T479,선사동자경,"(IX:1101),(H. 465)",,
K 125,大乘悲分陀利經,17,412,493,17,T158,대승비분타리경,"(IX:1113),(H. 159)",,
K 126,悲華經,17,494,589,17,T157,비화경,"(IX:1195),(H.158)",,
K 127,金光明最勝王經,17,590,661,17,T665,금광명최승왕경,"(IX:1291),(H.642)",,
K 128,合部金光明經,17,662,721,17,T664,합부금광명경,"(IX:1363),(H. 641)",,
K 129,伅眞陀羅所問如來三昧經,18,8,37,18,T624,좌진다라소문여래삼매경,"(IX: 1423),(H.604)",,
K 130,大樹緊那羅王所問經,18,38,69,18,T625,대수긴나라왕소문경,"(X:1),(H. 605)",,
K 131,道足無極變化經,18,70,93,18,T816,도족무극변화경,"(X:33),(H. 786)",,
K 132,佛昇忉利天爲母說法經,18,94,113,18,T815,불승도리천위모설법경,"(X:57),(H.785)",,
K 133,寶雨經,18,114,183,18,T660,보우경,"(X:77),(H.635)",,
K 134,寶雲經,18,184,233,18,T658,보운경,"(X:147),(H.637)",,
K 135,阿維越致遮經,18,234,267,18,T266,아유월치차경,"(X:197),(H. 259)",,
K 136,廣博嚴淨不退轉輪經,18,268,307,18,T268,광박엄정불퇴전륜경,"(X:231),(H.261)",,
K 137,不退轉法輪經,18,308,345,18,T267,불퇴전법륜경,"(X:271),(H. 260)",,
K 138,不必定入定入印經,18,346,357,18,T645,불필정입정입인경,"(X:309),(H. 624)",,
K 139,入定不定印經,18,358,365,18,T646,입정불정인경,"(X:321),(H. 625)",,
K 140,等集衆德三昧經,18,366,391,18,T381,등집중덕삼매경,"(X:329),(H.368)",,
K 141,集一切德三昧經,18,392,415,18,T382,집일체덕삼매경,"(X:355),(H. 369)",,
K 142,持心梵天所問經,18,416,461,18,T585,지심범천소문경,"(X:379),(H. 567)",,
K 143,思梵天所問經,18,462,501,18,T586,사범천소문경,"(X:425),(H. 568)",,
K 144,勝思惟梵天所問經,18,502,551,18,T587,승사유범천소문경,"(X:465),(H. 569)",,
K 145,持人菩薩經,18,552,577,18,T481,지인보살경,"(X:515),(H.467)",,
K 146,持世經,18,578,615,18,T482,지세경,"(X:541),(H.468)",,
K 147,濟諸方等學經,18,616,623,18,T274,제제방등학경,"(X:579),(H. 267)",,
K 148,大乘方廣惣持經,18,624,631,18,T275,대승방광총지경,"(X:587),(H. 268)",,
K 149,文殊師利現寶藏經,18,632,653,18,T461,문수사리현보장경,"(X.:595),(H. 447)",,
K 150,大方廣寶篋經,18,654,675,18,T462,대방광보협경,"(X:617),(H.448)",,
K 151,大乘同性經,18,676,693,18,T673,대승동성경,"(X:639),(H. 650)",,
K 152,證契大乘經,18,694,709,18,T674,증계대승경,"(X:657),(H. 651)",,
K 153,深密解脫經,19,8,43,19,T675,심밀해탈경,"(X:773),(H. 652)",,
K 154,解深密經,19,44,79,19,T676,해심밀경,"(X:709),(H. 653)",,
K 155,解節經,19,80,85,19,T677,해절경,"(X:745),(H. 654)",,
K 156,相續解脫地波羅密了義經,19,86,95,19,T678,상속해탈지바라밀요의경,"(X:751),(H.655)",,
K 157,緣生初勝分法本經,19,96,107,19,T716,연생초승분법본경,"(X:761),(H. 691)",,
K 158,分別緣起初勝法門經,19,108,119,19,T717,분별연기초승법문경,"(X:773),(H.692)",,
K 159,楞伽阿跋多羅寶經,19,120,165,19,T670,능가아발다라보경,"(X:785),(H. 647)",,
K 160,入楞伽經,19,166,253,19,T671,입능가경,"(X:831),(H. 648)",,
K 161,大乘入楞伽經,19,254,317,19,T672,대승입능가경,"(X:919),(H. 549)",,
K 162,菩薩行方便境界通變化經,19,318,339,19,T271,보살행방편경계통변화경,"(X-:983),(H. 264)",,
K 163,大薩遮尼乾子所說經,19,340,409,19,T272,대살차니간자소설경,"(X:1005),(H. 265)",,
K 164,大方等無想經,19,410,455,19,T387,대방등무상경,"(X:1075),(H. 374)",,
K 165,大雲經請雨品第六十四,19,456,467,19,T993,대운경청우품제육십사,"(X:1121),(H.883)",,
K 166,大雲輪請雨經,19,468,479,19,T991,대운륜청우경,"(X:1133),(H. 881)",,
K 167,大方等大雲經請雨品大六十四,19,480,489,19,T992,대방등대운경청우품대육십사,"(X:1145),(H.882)",,
K 168,諸法無行經,19,490,505,19,T650,제법무행경,"(X:1155),(H.629)",,
K 169,諸法本無經,19,506,525,19,T651,제법본무경,"(X:1171),(H.630)",,
K 170,無極寶三昧經,19,526,541,19,T636,무극보삼매경,"(X:1191),(H.615)",,
K 171,寶如來三昧經,19,542,561,19,T637,보여래삼매경,"(X:1207),(H. 616)",,
K 172,慧印三昧經,19,562,571,19,T632,혜인삼매경,"(X:1227),(H.612)",,
K 173,如來智印經,19,572,581,19,T633,여래지인경,"(X:1237),(H. 613)",,
K 174,灌頂七萬二千王護比丘呪經,19,582,641,19,T1331,관정칠만이천왕호비구주경,"(X:1247),(H. 1075)",,
K 175,文殊支利普超三昧經,19,642,675,19,T627,문수지리보초삼매경,"(X:1307),(H.607)",,
K 176,藥師如來本願經,19,676,681,19,T449,약사여래본원경,"(X:1341),(H.4351))",,
K 177,藥師琉璃光如來本願功德經,19,682,687,19,T450,약사류리광여래본원공덕경,"(X-.13.47),(H. 436)",,
K 178,藥師琉璃光七佛本願巧德經,19,688,701,19,T451,약사류리광칠불본원교덕경,"(X:1353),(H. 437)",,
K 179,阿闍世王經,19,702,729,19,T626,아사세왕경,"(X:1367),(H. 606)",,
K 180,放鉢經,19,730,733,19,T629,방발경,"(X:1395),(H.606)",,
K 181,月燈三昧經,20,13,102,20,T639,월등삼매경,"(XI:1),(H.618)",,
K 182,月燈三昧經,20,103,108,20,T640,월등삼매경,"(XI:91),(H.619)",,
K 183,月燈三昧經,20,109,118,20,T641,월등삼매경,"(XI.101),(H.620)",,
K 184,無希望經,20,119,128,20,T813,무희망경,"(XI:107),(H. 783)",,
K 185,象腋經,20,129,136,20,T814,상액경,"(XI:117),(H.784)",,
K 186,大淨法門經,20,137,148,20,T817,대정법문경,"(XI:125),(H.787)",,
K 187,大莊嚴法門經,20,149,162,20,T818,대장엄법문경,"(XI:137),(H.788)",,
K 188,如來莊嚴智慧光明入一切佛境界經,20,163,180,20,T357,여래장엄지혜광명입일체불경계경,"(XI:151),(H.347)",,
K 189,度一切諸佛境界智嚴經,20,181,186,20,T358,도일체제불경계지엄경,"(XL169),(H. 448)",,
K 190,後出阿彌陀佛偈,20,187,188,20,T373,후출아미타불게,"(XI:175),(H. 360)",,
K 191,觀無量壽佛經,20,189,196,20,T365,관무량수불경,"(XI:177),(H.354)",,
K 192,阿彌陀經,20,197,200,20,T366,아미타경,"(XI:185),(H. 355)",,
K 193,稱讚淨土佛攝受經,20,201,206,20,T367,칭찬정토불섭수경,"(XI:189),(H.356)",,
K 194,觀彌勒菩薩上生兜率天經,20,207,210,20,T452,관미륵보살상생두솔천경,"(XI:.195),(H.438)",,
K 195,彌勒大成佛經,20,211,218,20,T456,미륵대성불경,"(XI:199),(H.442)",,
K 196,彌勒來時經,20,219,220,20,T457,미륵래시경,"(XI:207),(H. 443)",,
K 197,彌勒下生經,20,221,224,20,T453,미륵하생경,"(XI:209),(H. 439)",,
K 198,彌勒下生成佛經,20,225,228,20,T454,미륵하생성불경,"(XI:213),(H.440)",,
K 199,彌勒下生成佛經,20,229,232,20,T455,미륵하생성불경,"(XI:217),(H. 441)",,
K 200,諸法勇王經,20,233,242,20,T822,제법용왕경,"(XI:221),(H.792)",,
K 201,一切法高王經,20,343,252,20,T823,일체법고왕경,"(XI:231),(H.793))",,
K 202,第一義法勝經,20,253,260,20,T833,제일의법승경,"(XI:241),(H.803)",,
K 203,大威燈光仙人問疑經,20,261,268,20,T834,대위등광선인문의경,"(XI.249),(H. 804)",,
K 204,順權方便經,20,269,282,20,T565,순권방편경,"(XI:257),(H. 547)",,
K 205,藥瓔珞莊嚴方便品經,20,283,296,20,T566,약영락장엄방편품경,"(XI:271),(H. 548)",,
K 206,六度集經,20,297,368,20,T152,육도집경,"(XI:285),(H.153)",,
K 207,大子須大拏經,20,369,376,20,T171,대자수대나경,"(XI:357),(H.171)",太子須大拏經,
K 208,菩薩睒子經,20,377,380,20,T174,보살섬자경,"(XI:365),(H.174)",,
K 209,睒子經,20,381,384,20,T175,섬자경,"(XL369),(H. 175)",,
K 210,太子墓魄經,20,385,386,20,T168,태자묘백경,"(XI:373),(H. 168)",,
K 211,九色鹿經,20,387,388,20,T181,구색록경,"(XL375),(H. 181)",,
K 212,太子慕魄經,20,389,392,20,T167,태자모백경,"(XI:377),(H. 167)",,
K 213,無字寶篋經,20,393,396,20,T828,무자보협경,"(XI:381),(H.798)",,
K 214,大乘離文字普光明藏經,20,397,400,20,T829,대승이문자보광명장경,"(XI:385),(H. 799)",,
